ep_elecfromgrid_0,ep_electogrid_0,elec_unserve_0,heat_unserve_0,heat_dump_0,cool_unserve_0,turbine_y_0,turbine_y_1,turbine_y_2,turbine_y_3,turbine_xp_0,turbine_xp_1,turbine_xp_2,turbine_xp_3,boiler_y_0,boiler_y_1,boiler_y_2,boiler_y_3,boiler_y_4,boiler_x_0,boiler_x_1,boiler_x_2,boiler_x_3,boiler_x_4,chiller_x_0,chiller_x_1,chiller_x_2,chiller_x_3,chiller_x_4,chiller_x_5,chiller_x_6,chiller_x_7,chiller_x_8,chiller_yp_0,chiller_yp_1,chiller_yp_2,chiller_yp_3,chiller_yp_4,chiller_yp_5,chiller_yp_6,chiller_yp_7,chiller_yp_8
1.45301185274493e-07,4.09525802412353e-08,1.2273802556663275e-11,1.227670200358183e-11,9.09234831569111e-08,1.2278483460503011e-11,1960.3111265394825,6281.046305738184,3983.54430225744,3949.2201993900017,674.7978990886859,2187.499996899437,1374.9999868102004,1374.9999968216166,1509.608493184443,1509.608493184443,1509.608493184443,1509.608493184443,1509.608493184443,1494.5124082525988,1494.5124082525988,1494.5124082525988,1494.5124082525988,1494.5124082525988,1.2066970568650162e-06,7.385739434145325e-07,7.385739434145325e-07,1.0334620843153606e-06,1.0334620843153606e-06,76.88145776935421,76.88145776935421,1.490194448895988e-07,7.025857383983716e-07,2.0542517364952392e-07,1.5750604706649743e-07,1.5750604706649743e-07,1.8769199663927053e-07,1.8769199663927053e-07,7.869941423825808,7.869941423825808,9.715751034236346e-08,1.5382217672431697e-07
1.4530123360668818e-07,4.09525766250221e-08,1.2273681862358231e-11,1.2276703773910257e-11,9.092348343119868e-08,1.2278471106163303e-11,1652.6032645688747,6281.046305738245,3983.5443022585887,3949.220199390067,568.8756217625436,2187.499996899459,1374.999986810597,1374.9999968216398,1518.4244790310443,1518.4244790310443,1518.4244790310443,1518.4244790310443,1518.4244790310443,1503.2402342407343,1503.2402342407343,1503.2402342407343,1503.2402342407343,1503.2402342407343,1.206696928100104e-06,7.385738596270476e-07,7.385738596270476e-07,1.0334619719731082e-06,1.0334619719731082e-06,76.886696455819,76.886696455819,1.4901942727086357e-07,7.025856598257358e-07,2.0542515442769817e-07,1.5750603239101433e-07,1.5750603239101433e-07,1.8769197909527402e-07,1.8769197909527402e-07,7.870477679989673,7.870477679989673,9.715750193840377e-08,1.5382216239515103e-07
1.4530124280867203e-07,4.095257593653151e-08,1.2273659033429238e-11,1.2276708286875788e-11,9.092348413040293e-08,1.2278468769684682e-11,1601.0351635837853,6281.046305738256,3983.544302258781,3949.2201993900785,551.1243343604464,2187.4999968994625,1374.9999868106634,1374.9999968216434,1540.8977605855139,1540.8977605855139,1540.8977605855139,1540.8977605855139,1540.8977605855139,1525.488782979659,1525.488782979659,1525.488782979659,1525.488782979659,1525.488782979659,1.2066969035629206e-06,7.385738436712622e-07,7.385738436712622e-07,1.0334619505584086e-06,1.0334619505584086e-06,76.89193514228359,76.89193514228359,1.4901942391631655e-07,7.02585644796839e-07,2.054251507672589e-07,1.575060295965732e-07,1.575060295965732e-07,1.8769197575446815e-07,1.8769197575446815e-07,7.871013936153514,7.871013936153514,9.715750033833364e-08,1.538221596669052e-07
1.4530117957816995e-07,4.0952580667434984e-08,1.2273816762370817e-11,1.2276708600633344e-11,9.09234841790027e-08,1.2278484915741239e-11,2008.014768557073,6281.046305738174,3983.544302257262,3949.2201993899907,691.2189237804012,2187.499996899434,1374.999986810139,1374.999996821613,1542.4598119319094,1542.4598119319094,1542.4598119319094,1542.4598119319094,1542.4598119319094,1527.0352138125907,1527.0352138125907,1527.0352138125907,1527.0352138125907,1527.0352138125907,1.2066970720456712e-06,7.385739532843265e-07,7.385739532843265e-07,1.033462097656906e-06,1.033462097656906e-06,76.89717382880619,76.89717382880619,1.4901944696582217e-07,7.02585748157551e-07,2.0542517591182927e-07,1.5750604879465158e-07,1.5750604879465158e-07,1.8769199870437108e-07,1.8769199870437108e-07,7.871550192323296,7.871550192323296,9.715751133265656e-08,1.5382217840998814e-07
1.4530118842526894e-07,4.0952580005493996e-08,1.2273794625743248e-11,1.2276713093014663e-11,9.092348487501723e-08,1.2278482650784978e-11,1958.698609532228,6281.046305738182,3983.544302257447,3949.2201993900017,674.2428223592786,2187.499996899437,1374.9999868102027,1374.9999968216166,1564.8303977872604,1564.8303977872604,1564.8303977872604,1564.8303977872604,1564.8303977872604,1549.1820938093879,1549.1820938093879,1549.1820938093879,1549.1820938093879,1549.1820938093879,1.206697048448622e-06,7.385739379463361e-07,7.385739379463361e-07,1.033462077139849e-06,1.033462077139849e-06,76.90241251527121,76.90241251527121,1.490194437406259e-07,7.025857342177561e-07,2.0542517239251823e-07,1.575060461079484e-07,1.575060461079484e-07,1.876919954922699e-07,1.876919954922699e-07,7.872086448487186,7.872086448487186,9.715750979428976e-08,1.538221757851452e-07
1.4530119819556417e-07,4.095257927447976e-08,1.2273770175242806e-11,1.227671763922985e-11,9.092348557932944e-08,1.2278480148080379e-11,1903.5377137857952,6281.046305738195,3983.544302257652,3949.220199390014,655.254787216484,2187.499996899441,1374.9999868102736,1374.9999968216207,1587.4675221833288,1587.4675221833288,1587.4675221833288,1587.4675221833288,1587.4675221833288,1571.5928469614953,1571.5928469614953,1571.5928469614953,1571.5928469614953,1571.5928469614953,1.2066970223893942e-06,7.385739210059445e-07,7.385739210059445e-07,1.0334620544366261e-06,1.0334620544366261e-06,76.90765120173579,76.90765120173579,1.490194401788947e-07,7.025857185322505e-07,2.0542516850607289e-07,1.5750604314094417e-07,1.5750604314094417e-07,1.8769199194513157e-07,1.8769199194513157e-07,7.872622704651026,7.872622704651026,9.715750809540023e-08,1.5382217288747038e-07
1.4530122050160414e-07,4.095257760554141e-08,1.2273713645027704e-11,1.2276737397468999e-11,9.092348864058015e-08,1.2278474361870774e-11,1793.3675190264335,6281.046305738217,3983.5443022580635,3949.2201993900376,617.330901074469,2187.499996899449,1374.9999868104155,1374.999996821629,1685.8567232872567,1685.8567232872567,1685.8567232872567,1685.8567232872567,1685.8567232872567,1668.9981560543843,1668.9981560543843,1668.9981560543843,1668.9981560543843,1668.9981560543843,1.2066969626665235e-06,7.385738823236205e-07,7.385738823236205e-07,1.0334620022901168e-06,1.0334620022901168e-06,76.91288988825892,76.91288988825892,1.4901943204741174e-07,7.025856821539786e-07,2.0542515963464631e-07,1.575060363677713e-07,1.575060363677713e-07,1.876919838483026e-07,1.876919838483026e-07,7.873158960820865,7.873158960820865,9.715750421683459e-08,1.5382216627451174e-07
1.4507261479397617e-07,4.096972089712695e-08,1.285558815457061e-11,1.2276734494530721e-11,9.092348822896188e-08,1.2338037726701486e-11,2020.6746293104457,6281.046305419819,3982.989886869874,3949.2201990548074,695.5768276475349,2187.499996788561,1374.808619250874,1374.999996704912,1768.8812032029427,1768.8812032029427,1768.8812032029427,1768.8812032029427,1768.8812032029427,1751.1923911709134,1751.1923911709134,1751.1923911709134,1751.1923911709134,1751.1923911709134,1.2072355353870243e-06,7.389022351961858e-07,7.389022351961858e-07,1.033922750747492e-06,1.033922750747492e-06,76.9181285734762,76.9181285734762,1.4908473354929724e-07,7.028979152467486e-07,2.0551641189693683e-07,1.5757587002172066e-07,1.5757587002172066e-07,1.8777530930142462e-07,1.8777530930142462e-07,7.873695216855859,7.873695216855859,9.720047218574988e-08,1.5389035356547755e-07
1.4530119367387643e-07,4.0952579612791615e-08,1.227378140584294e-11,1.2276772773555102e-11,9.092349412156935e-08,1.2278481299364923e-11,2025.278936652806,6281.04630573817,3983.544302257199,3949.2201993899876,697.1617683639952,2187.499996899433,1374.9999868101172,1374.9999968216118,1862.0110059389874,1862.0110059389874,1862.0110059389874,1862.0110059389874,1862.0110059389874,1843.3908958795973,1843.3908958795973,1843.3908958795973,1843.3908958795973,1843.3908958795973,1.2066970344292575e-06,7.385739288450684e-07,7.385739288450684e-07,1.0334620651660094e-06,1.0334620651660094e-06,76.92336726118826,76.92336726118826,1.4901944182598656e-07,7.025857272226421e-07,2.0542517030125638e-07,1.575060445124271e-07,1.575060445124271e-07,1.8769199358370714e-07,1.8769199358370714e-07,7.874231473148568,7.874231473148568,9.7157508881608e-08,1.538221742219471e-07
1.4530119477494684e-07,4.0952579530408734e-08,1.227377864550015e-11,1.227679130373246e-11,9.092349699251882e-08,1.2278481016962486e-11,2049.3486203865164,6281.046305738164,3983.5443022571085,3949.2201993899826,705.4472755956504,2187.4999968994307,1374.999986810086,1374.99999682161,1954.2784426201833,1954.2784426201833,1954.2784426201833,1954.2784426201833,1954.2784426201833,1934.7356581939819,1934.7356581939819,1934.7356581939819,1934.7356581939819,1934.7356581939819,1.2066970314863294e-06,7.385739269322719e-07,7.385739269322719e-07,1.0334620625599933e-06,1.0334620625599933e-06,76.92860594771126,76.92860594771126,1.4901944142429194e-07,7.025857250959122e-07,2.0542516986238468e-07,1.5750604417764757e-07,1.5750604417764757e-07,1.8769199318332663e-07,1.8769199318332663e-07,7.874767729318392,7.874767729318392,9.715750869013671e-08,1.5382217389626124e-07
1.453012173444207e-07,4.09525778417563e-08,1.2273721940199365e-11,1.2276837725001003e-11,9.092350418495902e-08,1.2278475212804273e-11,1982.3091540160972,6281.046305738178,3983.54430225736,3949.2201993899967,682.3702800869611,2187.4999968994357,1374.9999868101727,1374.9999968216148,2185.4256182141567,2185.4256182141567,2185.4256182141567,2185.4256182141567,2185.4256182141567,2163.5713620320153,2163.5713620320153,2163.5713620320153,2163.5713620320153,2163.5713620320153,1.2066969712162665e-06,7.385738877881538e-07,7.385738877881538e-07,1.0334620096511922e-06,1.0334620096511922e-06,76.93384463417593,76.93384463417593,1.4901943319633125e-07,7.02585686150113e-07,2.054251608860492e-07,1.5750603732450352e-07,1.5750603732450352e-07,1.876919849910859e-07,1.876919849910859e-07,7.875303985482243,7.875303985482243,9.715750476583968e-08,1.538221672127262e-07
1.4530122416387626e-07,4.095257733152117e-08,1.2273704469133582e-11,1.2276883234254804e-11,9.092351123610645e-08,1.2278473424827467e-11,2014.9740402592051,6281.046305738171,3983.5443022572376,3949.2201993899903,693.614513878426,2187.4999968994334,1374.9999868101306,1374.9999968216125,2412.0259589519355,2412.0259589519355,2412.0259589519355,2412.0259589519355,2412.0259589519355,2387.9056993624163,2387.9056993624163,2387.9056993624163,2387.9056993624163,2387.9056993624163,1.2066969528744535e-06,7.38573875954494e-07,7.38573875954494e-07,1.0334619934668727e-06,1.0334619934668727e-06,76.93908332064045,76.93908332064045,1.4901943070975214e-07,7.025856738033117e-07,2.0542515817323742e-07,1.5750603525348734e-07,1.5750603525348734e-07,1.8769198251549483e-07,1.8769198251549483e-07,7.875840241646079,7.875840241646079,9.715750358012674e-08,1.5382216519499932e-07
1.4530124320362888e-07,4.0952575906962695e-08,1.2273657619970713e-11,1.2276929452250188e-11,9.092351839716766e-08,1.2278468629879011e-11,1970.2821009973597,6281.046305738181,3983.544302257405,3949.2201993899994,678.230207626321,2187.4999968994366,1374.9999868101881,1374.999996821616,2642.1540189467837,2642.1540189467837,2642.1540189467837,2642.1540189467837,2642.1540189467837,2615.7324787573157,2615.7324787573157,2615.7324787573157,2615.7324787573157,2615.7324787573157,1.206696902362566e-06,7.385738429471613e-07,7.385738429471613e-07,1.0334619492403402e-06,1.0334619492403402e-06,76.94432200716406,76.94432200716406,1.49019423767898e-07,7.025856414917904e-07,2.0542515060028218e-07,1.575060294720175e-07,1.575060294720175e-07,1.8769197560378652e-07,1.8769197560378652e-07,7.876376497815966,7.876376497815966,9.715750026967655e-08,1.5382215955475452e-07
1.453012494803929e-07,4.0952575437331194e-08,1.2273642103884218e-11,1.2276974931029007e-11,9.092352544368161e-08,1.2278467041736584e-11,2006.3850692355447,6281.046305738172,3983.544302257271,3949.2201993899926,690.6579323829513,2187.499996899434,1374.999986810142,1374.9999968216136,2868.5975722360513,2868.5975722360513,2868.5975722360513,2868.5975722360513,2868.5975722360513,2839.911596513691,2839.911596513691,2839.911596513691,2839.911596513691,2839.911596513691,1.2066968856963408e-06,7.385738320664878e-07,7.385738320664878e-07,1.0334619346347395e-06,1.0334619346347395e-06,76.94956069362861,76.94956069362861,1.4901942147877818e-07,7.025856306477204e-07,2.054251481030754e-07,1.5750602756574164e-07,1.5750602756574164e-07,1.8769197332473805e-07,1.8769197332473805e-07,7.8769127539798065,7.8769127539798065,9.715749917838982e-08,1.5382215769573605e-07
1.4530124745696698e-07,4.095257558872233e-08,1.2273647103113852e-11,1.2276992762227739e-11,9.092352820642177e-08,1.2278467553937731e-11,2049.364198812711,6281.046305738165,3983.5443022571108,3949.220199389983,705.4526381572992,2187.4999968994307,1374.9999868100867,1374.9999968216102,2957.3789713046176,2957.3789713046176,2957.3789713046176,2957.3789713046176,2957.3789713046176,2927.805181591572,2927.805181591572,2927.805181591572,2927.805181591572,2927.805181591572,1.2066968910714899e-06,7.38573835572751e-07,7.38573835572751e-07,1.0334619393177441e-06,1.0334619393177441e-06,76.9547993800931,76.9547993800931,1.490194222160344e-07,7.025856338167837e-07,2.054251489067625e-07,1.5750602817963782e-07,1.5750602817963782e-07,1.8769197405842256e-07,1.8769197405842256e-07,7.877449010143638,7.877449010143638,9.715749953020338e-08,1.5382215829558708e-07
1.4530124869224544e-07,4.095257549629719e-08,1.2273644032899598e-11,1.2277010782414707e-11,9.09235309984476e-08,1.2278467240409273e-11,2071.7148419715377,6281.04630573816,3983.544302257027,3949.220199389978,713.1464000518622,2187.4999968994293,1374.999986810058,1374.9999968216086,3047.1010958252878,3047.1010958252878,3047.1010958252878,3047.1010958252878,3047.1010958252878,3016.6300848670353,3016.6300848670353,3016.6300848670353,3016.6300848670353,3016.6300848670353,1.2066968877785396e-06,7.38573833429584e-07,7.38573833429584e-07,1.0334619364263713e-06,1.0334619364263713e-06,76.96003806661662,76.96003806661662,1.4901942176533787e-07,7.025856315960943e-07,2.0542514841451263e-07,1.5750602780410272e-07,1.5750602780410272e-07,1.876919736092922e-07,1.876919736092922e-07,7.877985266313513,7.877985266313513,9.715749931541005e-08,1.5382215792967774e-07
1.4530127002290617e-07,4.095257390033569e-08,1.2273589934978332e-11,1.2277029967192367e-11,9.092353397100834e-08,1.2278461702555272e-11,1966.8564836451724,6281.046305738181,3983.5443022574195,3949.2201993900007,677.0510073651775,2187.4999968994366,1374.9999868101931,1374.9999968216166,3142.624353452975,3142.624353452975,3142.624353452975,3142.624353452975,3142.624353452975,3111.1981099184454,3111.1981099184454,3111.1981099184454,3111.1981099184454,3111.1981099184454,1.206696831038148e-06,7.385737964476767e-07,7.385737964476767e-07,1.0334618868274103e-06,1.0334618868274103e-06,76.96527675308126,76.96527675308126,1.490194139888748e-07,7.025855961076449e-07,2.054251399306324e-07,1.5750602132706727e-07,1.5750602132706727e-07,1.8769196586612466e-07,1.8769196586612466e-07,7.878521522477364,7.878521522477364,9.71574956065437e-08,1.5382215160834648e-07
1.4530125985280256e-07,4.0952574661260834e-08,1.2273616320160125e-11,1.227704732586178e-11,9.09235366605955e-08,1.2278464404228062e-11,2061.4068298926636,6281.046305738164,3983.5443022570657,3949.22019938998,709.5980730539513,2187.4999968994302,1374.9999868100713,1374.999996821609,3229.053941398118,3229.053941398118,3229.053941398118,3229.053941398118,3229.053941398118,3196.7634019841375,3196.7634019841375,3196.7634019841375,3196.7634019841375,3196.7634019841375,1.2066968580047017e-06,7.385738140757472e-07,7.385738140757472e-07,1.0334619103762133e-06,1.0334619103762133e-06,76.97051543954568,76.97051543954568,1.490194176961016e-07,7.025856127925225e-07,2.054251439742008e-07,1.5750602441451946e-07,1.5750602441451946e-07,1.87691969556911e-07,1.87691969556911e-07,7.879057778641189,7.879057778641189,9.715749737483812e-08,1.5382215462242524e-07
1.453012643137692e-07,4.095257432749304e-08,1.2273604874427122e-11,1.227702995026685e-11,9.092353396834399e-08,1.2278463233069975e-11,2003.524663109101,6281.046305738175,3983.5443022572817,3949.220199389993,689.6732947820457,2187.4999968994343,1374.9999868101459,1374.9999968216136,3142.5387357074546,3142.5387357074546,3142.5387357074546,3142.5387357074546,3142.5387357074546,3111.1133483503804,3111.1133483503804,3111.1133483503804,3111.1133483503804,3111.1133483503804,1.2066968462100504e-06,7.385738063377476e-07,7.385738063377476e-07,1.0334619000680568e-06,1.0334619000680568e-06,76.97575412606872,76.97575412606872,1.490194160700851e-07,7.025856053755244e-07,2.0542514219907028e-07,1.5750602305958671e-07,1.5750602305958671e-07,1.8769196793683779e-07,1.8769196793683779e-07,7.879594034811017,7.879594034811017,9.715749659907888e-08,1.5382215330005286e-07
1.4530125465367902e-07,4.095257505026255e-08,1.2273629290591953e-11,1.2277011755682786e-11,9.092353114924742e-08,1.2278465732852397e-11,2035.0326057586306,6281.046305738168,3983.5443022571644,3949.2201993899857,700.5192738802933,2187.499996899432,1374.9999868101054,1374.9999968216114,3051.947058374702,3051.947058374702,3051.947058374702,3051.947058374702,3051.947058374702,3021.427587790955,3021.427587790955,3021.427587790955,3021.427587790955,3021.427587790955,1.2066968718631268e-06,7.385738230777705e-07,7.385738230777705e-07,1.0334619224732063e-06,1.0334619224732063e-06,76.98099281253315,76.98099281253315,1.490194195920216e-07,7.025856213231937e-07,2.0542514603977402e-07,1.5750602599219792e-07,1.5750602599219792e-07,1.876919714424463e-07,1.876919714424463e-07,7.880130290974844,7.880130290974844,9.715749827858888e-08,1.5382215616260923e-07
1.4530125694217562e-07,4.095257487903894e-08,1.2273623612935138e-11,1.2276994253315452e-11,9.092352843749962e-08,1.2278465152438352e-11,1990.902764035219,6281.046305738177,3983.544302257329,3949.220199389995,685.3284584638432,2187.4999968994352,1374.999986810162,1374.9999968216143,2964.8047040194697,2964.8047040194697,2964.8047040194697,2964.8047040194697,2964.8047040194697,2935.156656979275,2935.156656979275,2935.156656979275,2935.156656979275,2935.156656979275,1.2066968657521225e-06,7.385738191034434e-07,7.385738191034434e-07,1.0334619171224574e-06,1.0334619171224574e-06,76.98623149899815,76.98623149899815,1.490194187580927e-07,7.025856174964546e-07,2.054251451286904e-07,1.5750602529689385e-07,1.5750602529689385e-07,1.8769197061104404e-07,1.8769197061104404e-07,7.8806665471387305,7.8806665471387305,9.715749788054711e-08,1.5382215548408679e-07
1.4530125244173433e-07,4.0952575215763515e-08,1.2273634787138094e-11,1.2276976358564516e-11,9.092352566477573e-08,1.227846629642338e-11,1989.7489361908474,6281.046305738177,3983.544302257333,3949.2201993899953,684.9312763049752,2187.4999968994352,1374.9999868101634,1374.9999968216146,2875.702506065596,2875.702506065596,2875.702506065596,2875.702506065596,2875.702506065596,2846.9454810049397,2846.9454810049397,2846.9454810049397,2846.9454810049397,2846.9454810049397,1.2066968777576208e-06,7.385738269012904e-07,7.385738269012904e-07,1.0334619276197306e-06,1.0334619276197306e-06,76.99147018552114,76.99147018552114,1.4901942039899043e-07,7.025856249730713e-07,2.0542514691740895e-07,1.5750602666288748e-07,1.5750602666288748e-07,1.8769197224373332e-07,1.8769197224373332e-07,7.881202803308551,7.881202803308551,9.715749866294146e-08,1.538221568172928e-07
1.4530121877519765e-07,4.0952577734698184e-08,1.2273718095772963e-11,1.2276944485457789e-11,9.09235207263681e-08,1.2278474824735664e-11,2152.5698893998415,6281.046305738143,3983.5443022567256,3949.2201993899603,740.9791330281074,2187.4999968994234,1374.9999868099537,1374.9999968216023,2717.00447401958,2717.00447401958,2717.00447401958,2717.00447401958,2717.00447401958,2689.8344292793845,2689.8344292793845,2689.8344292793845,2689.8344292793845,2689.8344292793845,1.20669696723656e-06,7.385738852615442e-07,7.385738852615442e-07,1.0334620058570956e-06,1.0334620058570956e-06,76.99670887198542,76.99670887198542,1.4901943267261952e-07,7.025856810587808e-07,2.054251603051491e-07,1.5750603688451218e-07,1.5750603688451218e-07,1.8769198446294607e-07,1.8769198446294607e-07,7.881739059472364,7.881739059472364,9.715750451654302e-08,1.5382216679296517e-07
1.453012808153255e-07,4.09525730928613e-08,1.2273562987519863e-11,1.2276918161690602e-11,9.092351664776353e-08,1.2278458947903555e-11,1709.5331285816803,6281.046305738235,3983.544302258379,3949.2201993900553,588.4725888516715,2187.4999968994553,1374.9999868105242,1374.9999968216355,2585.935476211431,2585.935476211431,2585.935476211431,2585.935476211431,2585.935476211431,2560.076121449317,2560.076121449317,2560.076121449317,2560.076121449317,2560.076121449317,1.2066968022013724e-06,7.385737776945002e-07,7.385737776945002e-07,1.0334618615686547e-06,1.0334618615686547e-06,77.00194755845033,77.00194755845033,1.490194100566723e-07,7.025855780018034e-07,2.0542513563173662e-07,1.5750601804700153e-07,1.5750601804700153e-07,1.8769196194351575e-07,1.8769196194351575e-07,7.88227531563624,7.88227531563624,9.715749372914302e-08,1.5382214840767354e-07
